"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Kank2","Group_safe",0.371453280711451,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05417453961179,0.0761137536784886
"Kank3","Group_safe",0.487258737725004,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05365647952094,0.0754045860723435
"Kank4os","Group_safe",0.569496445162927,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.8858475640542,-0.174869632567206
"Kansl1","Group_safe",0.100615108445722,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.872633432018378,-0.196552348100314
"Kansl1l","Group_safe",0.442658407119243,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.910348411454055,-0.135509291030434
"Kansl2","Group_safe",0.937959903094431,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.993630959534727,-0.00921796916373753
"Kansl3","Group_safe",0.405494418852069,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.943531851414331,-0.0838568742509596
"Kantr","Group_safe",0.0291433289034941,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.750635183245797,-0.413816182087664
"Kars","Group_safe",0.595412326880795,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03070717987225,0.0436345265481583
"Kat2a","Group_safe",0.74285805135256,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01703892364625,0.0243748944135434
"Kat2b","Group_safe",0.450779134631343,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.951835875433213,-0.0712152630678947
"Kat5","Group_safe",0.430403396261907,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04559746120644,0.0643275432722661
"Kat6a","Group_safe",0.364614442338066,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.895127180091067,-0.159835419156889
"Kat6b","Group_safe",0.373589343334424,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.91599380708633,-0.126590250403618
"Kat7","Group_safe",0.0546738011948103,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07591173765776,0.105559731364524
"Kat8","Group_safe",0.778661530699776,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02024650809788,0.0289177728273397
"Katna1","Group_safe",0.991722011239033,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.999589646396286,-0.00059213661009536
"Katnal1","Group_safe",0.0625028983227544,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.876447387753063,-0.190260604822004
"Katnal2","Group_safe",0.8878678965464,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03611026978257,0.0511775524479118
"Katnb1","Group_safe",0.527207599419535,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03547235136148,0.0502890319879634
"Katnbl1","Group_safe",0.174836284416767,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.868726027682737,-0.203026832489506
