"feature","contrast","baseMean","log2FoldChange","pvalue","padj"
"4933404O12Rik","T4400+LIPUS_vs_DMSO",581.565319676976,-0.323386425983874,0.000215547735525551,0.0306260798814104
"Acot7","T4400+LIPUS_vs_DMSO",2379.64974150171,-0.27245691054678,6.31995598829003e-05,0.0306260798814104
"Adk","T4400+LIPUS_vs_DMSO",2722.43648768484,-0.250562976816837,6.66378208336999e-05,0.0306260798814104
"Aldh1l2","T4400+LIPUS_vs_DMSO",2387.04449412274,1.43568967776957,0.000244837490514225,0.0306260798814104
"Anxa2","T4400+LIPUS_vs_DMSO",32953.8526931293,-0.318682137420264,0.000219588080204263,0.0306260798814104
"Arhgap26","T4400+LIPUS_vs_DMSO",82.9072709769062,1.20678848215988,0.000139640015489911,0.0306260798814104
"Arpin","T4400+LIPUS_vs_DMSO",1120.47330241914,-0.298216240518685,7.23832059947062e-05,0.0306260798814104
"Atoh8","T4400+LIPUS_vs_DMSO",1198.2042193844,-0.353384719873091,2.22030983772453e-05,0.0306260798814104
"Brip1os","T4400+LIPUS_vs_DMSO",2376.07094221665,-0.528894760364211,0.000231032311824846,0.0306260798814104
"Casp4","T4400+LIPUS_vs_DMSO",414.882115069618,0.848969308817829,0.000215002455881847,0.0306260798814104
"Cdk1","T4400+LIPUS_vs_DMSO",3441.9840699719,-0.730325387948311,0.00024215842561692,0.0306260798814104
"Chmp1b","T4400+LIPUS_vs_DMSO",1507.1001004064,0.435490158522356,0.000150600493289736,0.0306260798814104
"Chtf18","T4400+LIPUS_vs_DMSO",362.68336371121,-1.03974065863544,0.000225710697854795,0.0306260798814104
"Ckap4","T4400+LIPUS_vs_DMSO",11941.9083014226,-0.281593533325286,0.000222607294833872,0.0306260798814104
"Cks1b","T4400+LIPUS_vs_DMSO",1593.51656247842,-0.505693175431597,0.000211283055256284,0.0306260798814104
"Clic5","T4400+LIPUS_vs_DMSO",290.199806168258,0.570788363396922,6.42276185810969e-05,0.0306260798814104
"Cmc2","T4400+LIPUS_vs_DMSO",417.256426049551,-0.351445768696175,3.73085510278068e-05,0.0306260798814104
"Cntrob","T4400+LIPUS_vs_DMSO",922.582126621087,-0.405152803355199,0.000131651824612787,0.0306260798814104
"Col6a3","T4400+LIPUS_vs_DMSO",20542.2159884467,-0.719236350665476,7.94216167824605e-05,0.0306260798814104
"Copg1","T4400+LIPUS_vs_DMSO",9611.29849133374,-0.156601719678654,4.57932420234443e-05,0.0306260798814104
"Cpeb1","T4400+LIPUS_vs_DMSO",298.425970371334,0.770688725909006,0.000223568572327722,0.0306260798814104
"Crtc1","T4400+LIPUS_vs_DMSO",1265.03068936418,-0.233533188515487,0.000172729167029687,0.0306260798814104
