"dimension_coordinate.primary","dimension_coordinate.PC1","dimension_coordinate.PC2","dimension_coordinate.PC3","dimension_axis"
"K_XYL_F_0001_01",-0.0370096251765501,0.0176896487928932,-0.000967454749064879,44.02
"K_XYL_F_0001_02",-0.239250968352837,-0.433802168648793,0.110574354595458,31.12
"K_XYL_F_0002_01",-0.298620332516632,0.146784440804379,0.0227500824687306,24.86
"K_XYL_F_0002_02",-0.170471335578065,-0.200387768815239,0.0604581361238247,44.02
"K_XYL_F_0003_01",-0.00999319007576866,0.00126897829661089,-0.00381450295169486,31.12
"K_XYL_F_0003_02",-0.225820491680465,0.0826216311111099,0.00535257596377916,24.86
"K_XYL_F_0004_01",-0.120882467445045,0.0621803295104095,0.00623011516996972,44.02
"K_XYL_F_0004_02",-0.272113958034755,0.0179953730515487,0.0405677935793802,31.12
"K_XYL_F_0005_01",-0.0110954019433764,-0.00529397975734086,-0.00177902404210291,24.86
"K_XYL_F_0005_02",-0.0583004992603969,-0.181076114710014,0.0339435496053693,44.02
"K_XYL_F_0007_01",-0.0672286673782454,0.0298907077169485,-0.00280724867038113,31.12
"K_XYL_F_0007_02",-0.0230004835219143,-0.0142022316430356,-0.0164560507317953,24.86
"K_XYL_F_0008_01",-0.0401676527738229,0.0182461128513606,-0.00981214835015001,44.02
"K_XYL_F_0008_02",-0.0784268451217548,0.0405673914807177,-0.0122561926268449,31.12
"K_XYL_F_0009_01",-0.00998432602437641,-0.0136031950965599,-0.0159113548221828,24.86
"K_XYL_F_0009_02",-0.037747166489271,-0.0317976559032668,-0.0136891302302844,44.02
"K_XYL_F_0009_03",-0.0325655325382665,-0.0995977793698072,-0.0788769278000075,31.12
"K_XYL_F_0011_01",-0.0101255492143447,-0.00266279321869215,-0.0109110382493171,24.86
"K_XYL_F_0011_02",-0.0124203953694834,-0.0039440793320848,-0.0249234210380148,44.02
"K_XYL_F_0012_01",-0.0101953127689899,-0.0196035705087358,-0.0211361416505053,31.12
"K_XYL_F_0012_02",-0.020878225341776,-0.0318559677771832,-0.315171823977434,24.86
"K_XYL_F_0013_01",-0.00590724556960217,-0.00319461769221979,-0.0128830547788005,44.02
"K_XYL_F_0013_02",-0.0282070817397412,-0.035827322097285,-0.229717797492962,31.12
"K_XYL_F_0017_01",-0.0682482634993265,-0.0363495718224978,0.00446703622166549,24.86
"K_XYL_F_0017_02",-0.0997233019429056,0.0379075718870587,0.00490731592359571,44.02
"K_XYL_F_0018_01",-0.0335178681160659,-0.0720959103808823,-0.0101445790553581,31.12
"K_XYL_F_0018_02",-0.0153993672636025,-0.0143747161546577,-0.00206762079298322,24.86
"K_XYL_F_0022_01",-0.0166933797864729,-0.00827366911548059,-0.000347693243315374,44.02
"K_XYL_F_0022_02",-0.0223143157242716,-0.0267249407543911,-0.257002245214522,31.12
